filename,method,empty_count,avg_bleu,num_valid_samples,total_samples,lang_pair
student_Qwen_Qwen3-8B__Direct__NA_en-es.jsonl,,50,0.0,0,50,en-es
student_Qwen_Qwen3-8B__Direct__NA_es-en.jsonl,,50,0.0,0,50,es-en
student_Qwen_Qwen3-8B__Direct__NA_fr-en.jsonl,,50,0.0,0,50,fr-en
student_Qwen_Qwen3-8B__Self-CoT__NA_en-es.jsonl,Self-CoT,50,0.0,0,50,en-es
student_Qwen_Qwen3-8B__Self-CoT__NA_es-en.jsonl,Self-CoT,50,0.0,0,50,es-en
student_Qwen_Qwen3-8B__Self-CoT__NA_fr-en.jsonl,Self-CoT,10,31.97,40,50,fr-en
student_Qwen_Qwen3-8B__Teacher-CoT__Qwen_Qwen3-32B_en-es.jsonl,Teacher-CoT,9,3.26,41,50,en-es
student_Qwen_Qwen3-8B__Teacher-CoT__Qwen_Qwen3-32B_es-en.jsonl,Teacher-CoT,5,36.28,45,50,es-en
student_Qwen_Qwen3-8B__Teacher-CoT__Qwen_Qwen3-32B_fr-en.jsonl,Teacher-CoT,5,33.6,45,50,fr-en
student_Qwen_Qwen3-8B__Teacher-Synthesized-CoT__Qwen_Qwen3-32B_fr-en.jsonl,,50,0.0,0,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Direct__NA_en-es.jsonl,,50,0.0,0,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Direct__NA_es-en.jsonl,,50,0.0,0,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Direct__NA_fr-en.jsonl,,50,0.0,0,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Self-CoT__NA_en-es.jsonl,Self-CoT,14,2.32,36,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Self-CoT__NA_es-en.jsonl,Self-CoT,12,31.29,38,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Self-CoT__NA_fr-en.jsonl,Self-CoT,10,32.95,40,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Teacher-CoT__Qwen_Qwen3-32B_en-es.jsonl,Teacher-CoT,25,3.68,25,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Teacher-CoT__Qwen_Qwen3-32B_es-en.jsonl,Teacher-CoT,18,40.21,32,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Llama-8B__Teacher-CoT__Qwen_Qwen3-32B_fr-en.jsonl,Teacher-CoT,26,30.23,24,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Direct__NA_en-es.jsonl,,50,0.0,0,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Direct__NA_es-en.jsonl,,50,0.0,0,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Direct__NA_fr-en.jsonl,,50,0.0,0,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Self-CoT__NA_en-es.jsonl,Self-CoT,33,4.23,17,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Self-CoT__NA_es-en.jsonl,Self-CoT,26,9.47,24,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Self-CoT__NA_fr-en.jsonl,Self-CoT,35,7.6,15,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Teacher-CoT__Qwen_Qwen3-32B_en-es.jsonl,Teacher-CoT,25,5.16,25,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Teacher-CoT__Qwen_Qwen3-32B_es-en.jsonl,Teacher-CoT,27,30.53,23,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B__Teacher-CoT__Qwen_Qwen3-32B_fr-en.jsonl,Teacher-CoT,27,30.8,23,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Direct__NA_en-es.jsonl,,50,0.0,0,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Direct__NA_es-en.jsonl,,50,0.0,0,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Direct__NA_fr-en.jsonl,,50,0.0,0,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Self-CoT__NA_en-es.jsonl,Self-CoT,29,5.42,21,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Self-CoT__NA_es-en.jsonl,Self-CoT,29,22.75,21,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Self-CoT__NA_fr-en.jsonl,Self-CoT,25,20.06,25,50,fr-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Teacher-CoT__Qwen_Qwen3-32B_en-es.jsonl,Teacher-CoT,1,3.11,49,50,en-es
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Teacher-CoT__Qwen_Qwen3-32B_es-en.jsonl,Teacher-CoT,1,36.28,49,50,es-en
student_deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__Teacher-CoT__Qwen_Qwen3-32B_fr-en.jsonl,Teacher-CoT,1,35.26,49,50,fr-en
